smiles,AChE_class,BuChE_class,BACE1_class,MAO_B_class
Br.CCOC(=O)C(C(=O)N/N=C/c1ccc([N+](=O)[O-])cc1)[n+]1ccc2ccccc2c1,,,,Active
Br.CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],Active,Moderate,,
Br.CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],Active,Inactive,,
Br.CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],Active,Inactive,,
Br.CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],Active,Moderate,,
Br.COc1cc2c(cc1OC)CN(C)CC2,,,,Inactive
Br.COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,Moderate,,,
Br.CS(=O)(=O)N(c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c1)c1ccccn1,,,Moderate,
Br.c1ccc(-n2cc(C3=NCCN3)c(-c3cccs3)n2)cc1,,,,Inactive
Brc1ccc(-[n+]2ccc3ccccc3c2)cc1.[Br-],Moderate,,,
Brc1ccc(-c2cc3ccccc3o2)cc1,,,,Moderate
Brc1ccc(-c2nc3ccc(N4CCCCC4)nc3o2)cc1,,,,Active
Brc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,Active,Moderate,Moderate,
Brc1ccc(-c2nnc(Nc3ncccn3)o2)cc1,Moderate,Inactive,,
Brc1ccc(-c2nnc3sc(-c4ccoc4)nn23)cc1,Moderate,,,
Brc1ccc(-c2nnn3c2C2c4ccccc4CCN2Cc2ccccc2-3)cc1,Moderate,,,
Brc1ccc(-n2cc(COc3ccc(/C=N/Nc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1.Cl,Inactive,Active,,
Brc1ccc(/C=C2/CNCC3=C2N=C2SC=C(c4ccc5ccccc5c4)N2C3c2ccc(Br)cc2)cc1,Moderate,,,
Brc1ccc(/C=C2/CNCC3=C2N=C2SC=C(c4ccccc4)N2C3c2ccc(Br)cc2)cc1,Moderate,,,
Brc1ccc(/C=N\C2CCN(Cc3ccccc3)C2)cc1,Moderate,Moderate,Moderate,
Brc1ccc(CN2CCN(c3nccc(NCc4ccccc4)n3)CC2)cc1,Inactive,,,
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,Moderate,Moderate,Moderate,
Brc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1,Moderate,,,
Brc1ccc(COc2cccc(Br)c2)cc1,,,,Moderate
Brc1ccc(Cn2cc(CNC34CC5CC(CC(C5)C3)C4)nn2)cc1,Active,,,
Brc1ccc(Cn2cc(CNC3CCCCCC3)nn2)cc1,Moderate,,,
Brc1ccc(OCCOc2ccc3c(c2)OCCO3)cc1,,,,Moderate
Brc1ccc(OCCOc2ccc3c(c2)OCO3)cc1,,,,Moderate
Brc1ccc([C@H]2C[C@@H]2NC2CCOCC2)cc1,,,,Inactive
Brc1ccc([N+]2=Cc3ccccc3CC2)cc1.[Br-],Inactive,Inactive,,
Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,Active,,,
Brc1ccc2c(c1)c(OCc1ccc3ccccc3c1)nn2CCN1CCCCC1,,Moderate,,
Brc1cccc(-c2cc3ccccc3o2)c1,,,,Moderate
Brc1cccc(-c2nnc(Nc3ncccn3)o2)c1,Moderate,Inactive,,
Brc1cccc(-c2nnc3sc(-c4ccoc4)nn23)c1,Moderate,,,
Brc1cccc(/C=N/Nc2nc3ccccc3nc2Cc2ccccc2)c1,,,,Inactive
Brc1cccc(CN[C@H]2CC2c2ccccc2)n1,,,,Moderate
Brc1cccc(COc2ccc(C3C[C@@H]3NCCC3CCCCC3)cc2)c1,,,,Moderate
Brc1cccc(COc2ccc3c(c2)OCCO3)c1,,,,Active
Brc1cccc(COc2ccc3c(c2)OCO3)c1,,,,Moderate
Brc1cccc(COc2cccc(Br)c2)c1,,,,Moderate
Brc1cccc(Cn2ccc3c(N[C@H]4CCNC4)nc4ccccc4c32)c1.Cl,,,,Moderate
Brc1cccc(OCc2ccccc2)c1,,,,Moderate
Brc1ccccc1-c1cc2ccccc2o1,,,,Moderate
C#CC(C)(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],Inactive,,,
C#CC(C)C(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],Inactive,,,
C#CC(C)N(C)[C@H](C)Cc1ccccc1,,,,Active
C#CC(C)NC1CCc2ccc(SC(=O)N(C)C)cc21,Moderate,,,
C#CC(C)NCCc1cccc(OC(=O)N(C)C)c1,Moderate,,,
C#CC(C)NCCc1cccc(OC(=O)N(C)CC)c1,Inactive,,,
C#CC(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],Inactive,,,
C#CC(CC)OC[n+]1ccn(C)c1/C=N/O.[Cl-],Moderate,,,
C#CC(CCC)OC[n+]1ccn(C)c1/C=N/O.[Cl-],Moderate,,,
C#CC1(OC[n+]2ccn(C)c2/C=N/O)CCCC1.[Cl-],Inactive,,,
C#CC1CCCCC1OC[n+]1ccn(C)c1/C=N/O.[Cl-],Inactive,,,
C#CCC(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],Moderate,,,
C#CCC(CCC)OC[n+]1ccn(C)c1/C=N/O.[Cl-],Moderate,,,
C#CCC1CCCc2ccc(OC(=O)N(C)C)cc21,Moderate,,,
C#CCC1CCCc2ccc(OC(=O)N(C)CC)cc21,Inactive,,,
C#CCCCCCCCCCN(C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,Moderate,Active,,
C#CCCCCCCN1CCc2cc(OC)c(OC)cc2C1c1ccc([N+](=O)[O-])cc1,Moderate,,,
C#CCCCCCCN1CCc2cc(OC)c(OC)cc2C1c1cccc([N+](=O)[O-])c1,Moderate,,,
C#CCCCCOc1ccc2c(C)cc(=O)oc2c1,,,,Active
C#CCCCCOc1ccc2c(c1)NC(=O)CC2,,,,Active
C#CCCCCOc1ccc2cc(-c3ccc(OC)cc3)c(=O)oc2c1,,,,Active
C#CCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,,,,Active
C#CCCCCOc1ccc2cc(C(=O)c3ccc(OC)cc3)c(=O)oc2c1,,,,Active
C#CCCCCOc1ccc2cc(NC(C)=O)c(=O)oc2c1,,,,Active
C#CCCCCOc1ccc2ccc(=O)oc2c1,,,,Active
C#CCCCCOc1ccc2oc(=O)c(C(=O)OC)cc2c1,,,,Moderate
C#CCCCCOc1ccc2oc(=O)c(NC(C)=O)cc2c1,,,,Active
C#CCCCC[n+]1ccccc1/C=N/O.[Cl-],Inactive,,,
C#CCCCC[n+]1ccn(C(C)(C)C)c1/C=N/O.[Cl-],Inactive,,,
C#CCCCC[n+]1ccn(C)c1/C=N/O.[Cl-],Moderate,,,
C#CCCCC[n+]1cn(C)c(/C=N/O)n1.[Cl-],Inactive,,,
C#CCCCN(C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,Moderate,Active,,
C#CCCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],Inactive,,,
C#CCCCOc1ccc2c(C)cc(=O)oc2c1,,,,Active
C#CCCCOc1ccc2cc(C(=O)N3CCN(C(=O)OC(C)(C)C)CC3)c(=O)oc2c1,,,,Moderate
C#CCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,,,,Active
C#CCCCOc1ccc2cc(C(=O)c3ccc(OC)cc3)c(=O)oc2c1,,,,Moderate
C#CCCCOc1ccc2cc(NC(C)=O)c(=O)oc2c1,,,,Active
C#CCCCOc1ccc2ccc(=O)oc2c1,,,,Active
C#CCCCOc1ccc2oc(=O)c(C(=O)OC)cc2c1,,,,Moderate
C#CCCOC[n+]1ccc(/C=N/O)cc1.[Cl-],Inactive,,,
C#CCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],Inactive,,,
C#CCCOC[n+]1ccn(C)c1C.[Cl-],Inactive,,,
C#CCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,,,,Moderate
C#CCCOc1cnc(C(=O)Nc2cccc([C@]3(C)CCSC(N)=N3)c2)cn1,,,Moderate,
C#CCN(C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12)C(C)C,Moderate,Active,,
C#CCN(C)C(=O)Oc1ccc2c(CN(C)CCC3CCCCCC3)c[nH]c2c1,Moderate,Active,,
C#CCN(C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,Moderate,Active,,
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)C)c1,Moderate,,,
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)C2CCCCC2)c1,Moderate,,,
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CC)c1,,,,Active
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCC)c1,Inactive,,,
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCCCCC)c1,Moderate,,,Moderate
C#CCN(C)C(C)Cc1ccccc1,,,,Active
C#CCN(C)C1=C(Cl)C(=O)c2ccccc2C1=O,,,,Moderate
C#CCN(C)C1=CC(=O)c2ccccc2C1=O,,,,Moderate
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,Moderate,Inactive,,Active
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21.Cl,Inactive,,,
C#CCN(C)C1CCc2ccc(OC(=O)N(C)C)cc21.Cl,Inactive,,,
C#CCN(C)C1CCc2cccc(OC(=O)N(C)C)c21,,,,Moderate
C#CCN(C)C1CCc2cccc(OC(=O)N(C)C)c21.Cl,Moderate,,,
C#CCN(C)CC(=C)CCc1ccccc1.O=C(O)C(=O)O,,,,Active
C#CCN(C)CC(=C)Cc1ccc(F)c(F)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1ccc(Br)cc1.Cl,,,,Active
C#CCN(C)CC(=C)c1ccc(C)c(C)c1.O=C(O)C(=O)O,,,,Active
C#CCN(C)CC(=C)c1ccc(CNc2ccccc2)cc1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1ccc(COc2ccccc2)cc1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1ccc(Cl)c(C)c1.O=C(O)C(=O)O,,,,Active
C#CCN(C)CC(=C)c1ccc(Cl)c(Cl)c1.O=C(O)C(=O)O,,,,Active
C#CCN(C)CC(=C)c1ccc(Cl)cc1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1ccc(F)c(C)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1ccc(F)c(Cl)c1.O=C(O)C(=O)O,,,,Active
C#CCN(C)CC(=C)c1ccc(F)c(F)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1ccc(F)cc1.Cl,,,,Moderate
C#CCN(C)CC(=C)c1ccc(OC)cc1.Cl,,,,Active
C#CCN(C)CC(=C)c1cccc(CNc2ccccc2)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1cccc(COc2ccc(F)cc2)c1.O=C(O)C(=O)O,,,,Active
C#CCN(C)CC(=C)c1cccc(COc2ccc(OC)cc2)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1cccc(COc2cccc(F)c2)c1.O=C(O)C(=O)O,,,,Active
C#CCN(C)CC(=C)c1cccc(COc2cccc(OC)c2)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1cccc(COc2ccccc2)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1cccc(Cl)c1.O=C(O)C(=O)O,,,,Active
C#CCN(C)CC(=C)c1cccc(F)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1cccc(OC)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1cccc(OCc2ccc(F)cc2)c1.O=C(O)C(=O)O,,,,Active
C#CCN(C)CC(=C)c1cccc(OCc2ccc(OC)cc2)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1cccc(OCc2cccc(F)c2)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1cccc(OCc2cccc(OC)c2)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1cccc(OCc2ccccc2)c1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CC(=C)c1ccccc1.Cl,,,,Moderate
C#CCN(C)CC(=C)c1cccs1.Cl,,,,Moderate
C#CCN(C)CC(=C)c1ccoc1.O=C(O)C(=O)O,,,,Moderate
C#CCN(C)CCCCCCCCOc1ccc2c(c1)OCCC2=O,,,,Moderate
C#CCN(C)CCCCCCOc1ccc(C(C)=O)cc1,,,,Active
C#CCN(C)CCCCCCOc1ccc(C=O)c(OC)c1,,,,Moderate
C#CCN(C)CCCCCCOc1ccc2c(c1)CCC2=O,,,,Moderate
C#CCN(C)CCCCCCOc1ccc2c(c1)CCCC2=O,,,,Moderate
C#CCN(C)CCCCCCOc1ccc2c(c1)OCC2=O,,,,Active
C#CCN(C)CCCCCCOc1ccc2c(c1)OCCC2=O,,,,Moderate
C#CCN(C)CCCCCOc1ccc(C(C)=O)cc1OC,,,,Moderate
C#CCN(C)CCCCCOc1ccc(C=O)c(OC)c1,,,,Moderate
C#CCN(C)CCCCCOc1ccc2c(c1)CCC2=O,,,,Active
C#CCN(C)CCCCCOc1ccc2c(c1)CCCC2=O,,,,Active
C#CCN(C)CCCCCOc1ccc2c(c1)OCCC2=O,,,,Active
C#CCN(C)CCCCCOc1cccc(OC)c1,,,,Active
C#CCN(C)CCCCOc1ccc(C(C)=O)cc1,,,,Active
C#CCN(C)CCCCOc1ccc(C(C)=O)cc1OC,,,,Moderate
C#CCN(C)CCCCOc1ccc2c(c1)CCC2=O,,,,Moderate
C#CCN(C)CCCCOc1ccc2c(c1)CCCC2=O,,,,Active
C#CCN(C)CCCCOc1ccc2c(c1)OCCC2=O,,,,Active
C#CCN(C)CCCCOc1ccc2ccc(=O)oc2c1,,,,Active
C#CCN(C)CCCOc1cc(C#N)c(Cl)cc1Cl,,,,Inactive
C#CCN(C)CCCOc1cc(NC=O)c(Cl)cc1Cl,,,,Inactive
C#CCN(C)CCCOc1cc(NS(C)(=O)=O)c(Cl)cc1Cl,,,,Inactive
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,,,,Moderate
C#CCN(C)CCCOc1ccc2c(c1)OCCC2=O,,,,Inactive
C#CCN(C)CCCOc1ccc2ccc(=O)oc2c1,,,,Moderate
C#CCN(C)CCCOc1cccc(NC(=O)c2ccccc2)c1,,,,Active
C#CCN(C)CCCc1ccc(O)c2ncccc12,,,,Active
C#CCN(C)CCCc1cn(-c2cc(NC(=S)NCC)ncn2)cn1,,,,Moderate
C#CCN(C)CCOc1ccc2ccc(=O)oc2c1,,,,Moderate
C#CCN(C)CCc1ccc(Cc2cn(C)nn2)cc1,,,,Moderate
C#CCN(C)CCc1ccc(O)c2ncccc12,,,,Active
C#CCN(C)CCc1cccc(OC(=O)N(C)C)c1,Moderate,,,
C#CCN(C)CCc1cccc(OC(=O)N(C)CC)c1,Inactive,,,
C#CCN(C)CCc1cn(-c2cc(NC(=S)NCC)ncn2)cn1,,,,Inactive
C#CCN(C)CCc1cn(Cc2ccccc2)nn1,,,,Moderate
