smiles,class
c1ccc2c(c1)OCC(C1=NCCN1)O2,Moderate
COc1ccc2c(c1)SCC(=O)N2,Inactive
O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)cc1,Moderate
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)ccc1O,Moderate
O=C(/C=C/c1ccc([N+](=O)[O-])cc1)c1ccccc1,Active
O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1ccccc1,Active
NC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc[nH]1,Inactive
COc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1,Inactive
O=C1/C(=C/c2ccc(O)cc2)COc2cc(O)cc(O)c21,Moderate
NC(=S)N1N=C(c2cccs2)CC1c1ccc[nH]1,Inactive
NC(=S)N1N=C(c2ccccc2)CC1c1ccc(Cl)cc1,Moderate
NC(=S)N1N=C(c2ccccc2)CC1c1ccco1,Inactive
NC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(F)cc1,Inactive
NC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Cl)cc1,Inactive
Cc1ccc(C2CC(c3ccco3)=NN2C(N)=S)cc1,Inactive
NC(=S)N1N=C(c2ccco2)CC1c1ccc(F)cc1,Moderate
Cc1ccc(C2=NN(C(N)=S)C(c3ccc(F)cc3)C2)cc1,Moderate
Cc1ccc(C2=NN(C(N)=S)C(c3cccs3)C2)cc1,Inactive
NC(=S)N1N=C(c2ccc(F)cc2)CC1c1cccs1,Inactive
Cc1ccc(C2CC(c3ccc(Cl)cc3)=NN2C(N)=S)cc1,Inactive
NC(=S)N1N=C(c2ccc[nH]2)CC1c1ccco1,Inactive
Cl.N=C(NCCCNCCCCCCCNCCCNC(=N)NC(=N)NCCC(c1ccccc1)c1ccccc1)NC(=N)NCCC(c1ccccc1)c1ccccc1,Moderate
Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12,Active
Cc1c(C)c2ccc(OCc3cccc(F)c3)cc2oc1=O,Active
NNCCc1ccccc1,Moderate
Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O,Active
Cc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,Active
Cc1c(C)c2ccc(OCc3ccccc3)cc2oc1=O,Active
COc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,Active
CC(C)=CCc1cc(C(=O)/C=C/c2ccc(O)c(O)c2)c(O)cc1O,Moderate
CC(N)CSc1ccccc1,Inactive
CN1C(=N)N(C)/C(=C/c2c[nH]c3ccc(Br)cc23)C1=O,Moderate
O=C1/C(=C/c2ccccc2O)Oc2cc(O)ccc21,Inactive
CN1C(=N)NC(=O)/C1=C\c1c[nH]c2ccc(Br)cc12,Inactive
CN1C(=N)NC(=O)/C1=C\c1c[nH]c2ccccc12,Inactive
N[C@@H]1C[C@H]1c1ccccc1,Inactive
CC(=O)/C=C/C=C/COc1ccc2ccc(=O)oc2c1,Moderate
O=C(/C=C/c1ccc2c(c1)OCO2)N1CCOCC1,Moderate
Cc1c(C)c2ccc(OC/C=C/C3=CC(=O)C(C)(C)O3)cc2oc1=O,Moderate
C/C(=C\COc1ccc2c(C)c(C)c(=O)oc2c1)C1=CC(=O)C(C)(C)O1,Moderate
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,Active
C#CCNC1CCc2c(OC(=O)N(C)CC)cccc21,Moderate
C#CCN(C)C1CCc2cccc(OC(=O)N(C)C)c21,Moderate
C#CCNC1CCc2c(OC(=O)N(C)C)cccc21,Moderate
COc1cc2c(cc1OC)CN(C)CC2,Inactive
C[n+]1ccc2c3ccccc3n(CCCCCCCCCn3c4ccccc4c4cc[n+](C)cc43)c2c1,Moderate
C#CCN(C)[C@H](C)Cc1ccccc1.Cl,Active
C#CCN[C@@H]1CCc2ccccc21.CS(=O)(=O)O,Active
Cc1cc(=O)oc2cc(OC/C=C/C3=CC(=O)C(C)(C)O3)ccc12,Moderate
CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Moderate
COc1cccc(-c2csc(N/N=C3\CCC(C)C3)n2)c1,Moderate
COc1cccc(-c2csc(N/N=C3\CCCC3C)n2)c1,Active
COc1cccc(-c2csc(NN=C3CCCC3)n2)c1,Moderate
CCCCC/C(C)=N/Nc1nc(-c2cccc(OC)c2)cs1,Moderate
CCC/C(C)=N/Nc1nc(-c2cccc(OC)c2)cs1,Moderate
CCC(CC)=NNc1nc(-c2cccc(OC)c2)cs1,Moderate
